;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
138;3050;11;11,56597574;0,951065457;0,030478395;0,078;0,44;0,1875;0,31;0,305941358;0,015;0,021182432;0,135;0,08;0,010577094;0,00154321;0,000223122;22,31216126
139;3051;5;6,166735519;0,810801758;0,054269175;0,067;0,42;0,221418234;0,3;0,2170767;0,009;0,021182432;0;0,09;0,010577094;0;0,000211824;21,18243157
140;3052;16;11,26254736;1,420637755;0,030507132;0,072;0,38;0,210776545;0,35;0,195721078;0,003;0,021182432;0,17;0;0,010577094;0,000792393;0,000217473;21,74729642
141;3053;34;28,37501532;1,198237239;0,01163705;0,068;0,22;0,167321906;0,36;0,687372228;0,017;0,016758469;0,113;0,05;0,008359518;0,000943545;0,000182372;18,23715698
142;3054;35;38,615723;0,90636656;0,008782066;0,075;0,14;0,144326323;0,33;0,583429628;0,028;0,016758469;0,093;0,06;0,008359518;0,000924428;0,000187301;18,73005311
143;3401;95;77,80260529;1,221038803;0,004932324;0,075;0,27;0,186969488;0,39;0,7059532;0,048;0,016758469;0,152;0,07;0,008359518;0,001032347;0,000211945;21,19453378
144;3403;136;127,8950604;1,063371796;0,003593608;0,09;0,19;0,190670574;0,25;0,871118554;0,048;0,016758469;0,082;0,08;0,008359518;0,001221129;0,000253842;25,38415092
145;3405;135;118,5646378;1,138619427;0,003688232;0,087;0,19;0,178201799;0,23;0,848368522;0,042;0,016758469;0,067;0,1;0,008359518;0,00112905;0,000241519;24,15191059
146;3407;138;129,2872612;1,067390544;0,003278802;0,075;0,24;0,176123421;0,32;0,741216263;0,053;0,016758469;0,105;0,09;0,008359518;0,00093187;0,000234126;23,41256639
147;3411;180;146,5469811;1,228275046;0,002892637;0,057;0,23;0,170239328;0,36;0,49485415;0,02;0,016758469;0,153;0,06;0,008359518;0,000822118;0,000234126;23,41256639
