"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"151",3415,"SÃ¸r-Odal",0,3.59760577035863,0,"Sør-Odal",3.525,151,151,0.220338583270435,0.0231314277896153,0.734968857887637
"152",3416,"Eidskog",0,3.15233799056988,0,"Eidskog",3.3,152,152,0.218620598452458,0.0211417125922249,0.7537225803493
"153",3417,"Grue",3,2.4915902922903,1.20405028438378,"Grue",3.125,153,153,1.01493129061208,0.250911275946739,2.42214719193918
"154",3418,"Ã…snes",0,3.84171901603247,0,"Åsnes",3.075,154,154,0.18426611827724,0.018186584193812,0.629204636662567
"155",3419,"VÃ¥ler",0,1.91003321525169,0,"Våler (Innlandet)",3,155,155,0.246378217212496,0.0194225424435078,0.926327860994338
"156",3420,"Elverum",13,9.92217308739703,1.31019685763317,"Elverum",4.125,156,156,1.29411537311117,0.700991566986461,2.06478149681095
"157",3421,"Trysil",4,3.49726898164747,1.14374960032834,"Trysil",2.25,157,157,0.914490326838095,0.263593756462518,2.03337668944934
"158",3422,"Ã…mot",0,2.12600629220164,0,"Åmot",2.775,158,158,0.215817793086406,0.0168614903610611,0.813570122493118
"159",3423,"Stor-Elvdal",0,1.33728233553692,0,"Stor-Elvdal",2.15,159,159,0.191293174180791,0.0117048709385916,0.802403712601475
"160",3424,"Rendalen",0,1.01475400464117,0,"Rendalen",1.825,160,160,0.175149133530016,0.00958095479070538,0.774089331303575
"161",3425,"Engerdal",0,0.686956855806375,0,"Engerdal",1.7,161,161,0.177501380768084,0.00890896551906692,0.819374561031014
"162",3426,"Tolga",0,0.762121456701808,0,"Tolga",1.825,162,162,0.186313932779491,0.0096612816780718,0.846238154777905
"163",3427,"Tynset",0,2.67726224371333,0,"Tynset",2.175,163,163,0.155302393636248,0.0116167483413313,0.594081190457288
"164",3428,"Alvdal",0,1.16942211231646,0,"Alvdal",1.85,164,164,0.171512734511717,0.00966711909654257,0.745617850656763
"165",3429,"Folldal",0,0.838581337348887,0,"Folldal",1.7,165,165,0.169884038147499,0.00877484281036932,0.771944158194958
"166",3430,"Os",0,0.955995384362649,0,"Os",1.75,166,166,0.171938777812647,0.00922443307667815,0.766197361800394
"167",3431,"Dovre",0,1.39378917230059,0,"Dovre",1.95,167,167,0.171844289454417,0.0102458175140314,0.728064924175066
"168",3432,"Lesja",0,0.998548148515696,0,"Lesja",1.575,168,168,0.153614749894831,0.00803069109088863,0.691721956401148
"169",3433,"SkjÃ¥k",0,1.18012701036935,0,"Skjåk",1.625,169,169,0.151909101029808,0.00824813523275016,0.671071775504807
"170",3434,"Lom",0,1.14816126923736,0,"Lom",1.725,170,170,0.160684273921963,0.00880264084635919,0.707479522241476
"171",3435,"VÃ¥gÃ¥",0,1.85052630702744,0,"Vågå",2,171,171,0.161711140783825,0.0104452842404433,0.659928823010726
"172",3436,"Nord-Fron",0,2.95347170673266,0,"Nord-Fron",2.725,172,172,0.18378856044124,0.0156394147461033,0.667391957639492
"173",3437,"Sel",0,2.94952940727944,0,"Sel",2.2,173,173,0.149988617596996,0.0115122484266875,0.566644404470526
"174",3438,"SÃ¸r-Fron",0,1.55602559993489,0,"Sør-Fron",2.275,174,174,0.193504790871203,0.0125603328162441,0.790331558264098
"175",3439,"Ringebu",0,2.28445120563813,0,"Ringebu",2.425,175,175,0.18126104881409,0.0134675029360784,0.696655284636054
"176",3440,"Ã˜yer",0,2.46860183870418,0,"Øyer",2.725,176,176,0.198537446289462,0.0160200554471752,0.736928119626244
"177",3441,"Gausdal",0,3.04661211931039,0,"Gausdal",2.7,177,177,0.179555445862428,0.0153756808472298,0.650451167575082
"178",3442,"Ã˜stre Toten",9,7.31989348141244,1.22952608844021,"Østre Toten",3.3,178,178,1.16391641788166,0.544192443061542,2.02321463476943
"179",3443,"Vestre Toten",8,6.39835635225328,1.25032110741733,"Vestre Toten",3.9,179,179,1.21480381879602,0.546099231841918,2.15856430272111
"180",3446,"Gran",9,6.58224668990949,1.3673142961653,"Gran",3.325,180,180,1.28468566244073,0.598697107055558,2.23717716624556
"181",3447,"SÃ¸ndre Land",4,2.73199160227022,1.46413334384926,"Søndre Land",2.625,181,181,1.1684157940422,0.334995068023441,2.60481082582953
"182",3448,"Nordre Land",0,3.24129925809756,0,"Nordre Land",2.85,182,182,0.184542686620226,0.0165921252832206,0.65539931528984
"183",3449,"SÃ¸r-Aurdal",0,1.58256332354176,0,"Sør-Aurdal",2.025,183,183,0.171027213266875,0.010623791607942,0.710362707508815
"184",3450,"Etnedal",0,0.70317167769244,0,"Etnedal",1.85,184,184,0.189094161195548,0.00957523039813926,0.866961572098238
"185",3451,"Nord-Aurdal",0,3.09630371119555,0,"Nord-Aurdal",2.4,185,185,0.158786706899561,0.0128618151506981,0.587590320621687
